COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
SOCI 234,1,Population & Society,12/16/2019,18:30,GYM,Fieldhouse,36-39,AAA,ZZZ
SOCI 235,1,Technology and Society,12/20/2019,9:00,GYM,Studio 1,1-6,AAA,MOR
SOCI 235,1,Technology and Society,12/20/2019,9:00,GYM,Studio 2,1-6,MOU,ZZZ
SOCI 247,1,Family & Modern Society,12/16/2019,9:00,GYM,main gym,24-30,AAA,ZZZ
SOCI 250,1,Social Problems,12/13/2019,9:00,GYM,main gym,15-24,AAA,ZZZ
SOCI 304,1,Sociology of the Welfare State,12/19/2019,14:00,GYM,Fieldhouse,23-26,AAA,ZZZ
SOCI 330,1,Sociological Theory,12/17/2019,18:30,GYM,Fieldhouse,22-28,AAA,ZZZ
SOCI 420,1,Organizations,12/5/2019,9:00,GYM,Studio 2,1-6,AAA,ZZZ
SOIL 315,1,Soil Nutrient Management,12/19/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
SWRK 220,1,History & Philosophy of SW,12/11/2019,9:00,GYM,Fieldhouse,32-33,AAA,ZZZ
SWRK 221,1,Public Soc. Services in Canada,12/9/2019,14:00,GYM,main gym,20-24,AAA,ZZZ
SWRK 221,2,Public Soc. Services in Canada,12/9/2019,14:00,GYM,main gym,20-24,AAA,ZZZ
WILD 302,1,Fish Ecology,12/10/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
WILD 307,1,Natural History of Vertebrates,12/11/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
WILD 401,1,Fisheries&Wildlife Management,12/5/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
WILD 420,1,Ornithology,12/9/2019,14:00,TAKE,HOME,,AAA,ZZZ
